run_id,avg_words_per_sentence,bullet_points_per_utterance,headings_per_utterance,sentence_complexity,lexical_diversity,formality_score,punctuation_density,output_structure_consistency,is_gemini,is_claude,is_gpt,is_llama,is_qwen,is_deepseek,is_mistral
5338,19.12857142857143,0.0,0.0,12.442648369158729,0.30915684496826834,0.009723261032161555,0.0313642259167551,0.0,0,0,0,1,0,0,0
5339,15.156626506024097,0.0,0.0,11.744362041467308,0.32142857142857145,0.03987240829346093,0.033251533742331287,0.0,0,0,1,0,0,0,0
5340,18.774647887323944,0.0,0.0,13.568897331475728,0.4083865086599818,-0.002250562640660165,0.030516966522432246,0.0,0,0,0,1,0,0,0
5341,16.71264367816092,0.0,0.0,13.629573768734705,0.3730355665839537,0.032324621733149934,0.03200665073261977,0.0,0,0,1,0,0,0,0
5342,16.96969696969697,0.0,0.0,7.754205426356588,0.4308390022675737,-0.030357142857142857,0.04219143576826197,0.0,0,0,0,1,0,0,0
5343,11.153846153846153,0.0,0.0,6.582068965517241,0.5462184873949579,0.013793103448275862,0.031679617453676034,0.0,0,0,1,0,0,0,0
5344,19.19402985074627,0.0,0.0,14.42211021099789,0.3517305893358279,-0.013219284603421462,0.028864059590316574,0.0,0,0,0,1,0,0,0
5345,17.458333333333332,0.0,0.0,14.825239982504531,0.3027730616864743,0.010983763132760267,0.028285835814547,0.0,0,0,1,0,0,0,0
5346,21.333333333333332,0.0,0.0,13.220000000000002,0.34406215316315203,-0.03768382352941176,0.028404099560761346,0.0,0,0,0,1,0,0,0
5347,16.93877551020408,0.0,0.0,13.13756823211212,0.4554317548746518,-0.0024096385542168677,0.018126346015793254,0.0,0,0,1,0,0,0,0
5348,22.72340425531915,0.0,0.0,14.69625715368203,0.40384615384615385,-0.008426966292134831,0.026481534497566562,0.0,0,0,0,1,0,0,0
5349,15.40625,0.0,0.0,12.916580283195298,0.3852760736196319,0.014213197969543147,0.03172666259914582,0.0,0,0,1,0,0,0,0
5350,19.492957746478872,0.0,0.0,13.932629243670117,0.3254237288135593,-0.005780346820809248,0.022856505742000224,0.0,0,0,0,1,0,0,0
5351,17.68041237113402,0.0,0.0,14.809600026206308,0.32038834951456313,0.01282798833819242,0.02769704222944093,0.0,0,0,1,0,0,0,0
5352,16.352941176470587,5.2,0.0,10.756036225633952,0.3604108309990663,0.004316546762589928,0.04914698904078635,0.6,0,0,0,1,0,0,0
5353,16.34328358208955,1.0,0.0,10.230188963439684,0.38839285714285715,0.03287671232876712,0.037224065791372093,0.4,0,0,1,0,0,0,0
